E3,.draw,Magnitude
-0.182,8,-0.5996397611785816
-0.178,8,-0.5990320701405841
-0.021,8,-0.5361344438805585
-0.015,8,-0.5323391523913282
0.047,8,-0.4880685670315001
0.055,8,-0.4817554629805406
0.195,8,-0.35767501027213183
0.222,8,-0.33246159637248635
0.264,8,-0.2935982417000678
0.297,8,-0.26372492788691815
0.34,8,-0.22603556280257744
0.487,8,-0.10869271007025118
0.665,8,0.015141988802778145
0.764,8,0.0812686854474744
1.023,8,0.2648323416626266
1.132,8,0.3497164478853483
1.133,8,0.35051496828146905
1.342,8,0.5185121728387962
1.465,8,0.6104748811237966
1.472,8,0.6154138616650383
2.086,8,0.9895014488082933
2.367,8,1.1852906891727688
-1.917,9,0.06152472093446737
-1.724,9,-0.15081234033662871
-1.426,9,-0.39267413472694623
-1.119,9,-0.4895778890732144
-1.015,9,-0.5019534138205
-0.935,9,-0.5092730789141142
-0.927,9,-0.5099529046734057
-0.807,9,-0.5182081489271348
-0.803,9,-0.5183808289045588
-0.803,9,-0.5183808289045588
-0.793,9,-0.5187715742395393
-0.702,9,-0.5186333231856014
-0.576,9,-0.5012502959327336
-0.455,9,-0.4580075821474587
-0.432,9,-0.4465091701219396
-0.265,9,-0.33654386778649
-0.262,9,-0.3342450136688866
-0.182,9,-0.27055846133416805
-0.178,9,-0.2672889147825812
-0.021,9,-0.13826269690557474
-0.015,9,-0.13343480561475143
0.047,9,-0.08451480339065703
0.055,9,-0.07832915806408694
0.195,9,0.027361041841375083
0.222,9,0.047730484124496375
0.264,9,0.07979036069880571
0.297,9,0.10540601634466898
0.34,9,0.1394153290539013
0.487,9,0.25955366699885835
0.665,9,0.4037472594842772
0.764,9,0.47778684920212844
1.023,9,0.6476640308769608
1.132,9,0.7150693467277391
1.133,9,0.7156945328155134
1.342,9,0.8542132626574858
1.465,9,0.9459546997312075
1.472,9,0.9513993530698663
2.086,9,1.355474155361322
2.367,9,1.3818289352665107
-1.917,10,-0.4747436517836283
-1.724,10,-0.49506352966344336
-1.426,10,-0.5217279211904569
-1.119,10,-0.5337865913994476
-1.015,10,-0.5315308389106077
-0.935,10,-0.526435700957783
-0.927,10,-0.5257291058613817
-0.807,10,-0.509771234003393
-0.803,10,-0.5090429901080463
-0.803,10,-0.5090429901080463
-0.793,10,-0.5071605857214738
-0.702,10,-0.48585949295409253
-0.576,10,-0.44366969417376007
-0.455,10,-0.39005171259711025
-0.432,10,-0.37859172081857906
-0.265,10,-0.2869789507141013
-0.262,10,-0.285244661651902
-0.182,10,-0.2385462375684293
-0.178,10,-0.2361977780298124
-0.021,10,-0.14380521383974096
-0.015,10,-0.1402718134426253
0.047,10,-0.1037111152916175
0.055,10,-0.09897744667315983
0.195,10,-0.01409055418674822
0.222,10,0.003025662721886091
0.264,10,0.030336086132546042
0.297,10,0.05243405005685006
0.34,10,0.08211394328022559
0.487,10,0.19069721887389912
0.665,10,0.33374287912938777
0.764,10,0.4168453159346611
1.023,10,0.6449994234131287
1.132,10,0.7477533461408344
1.133,10,0.7487209176060055
1.342,10,0.9632609638687691
1.465,10,1.102798378392662
1.472,10,1.1110520967290247
2.086,10,1.9007334292514386
2.367,10,2.2536070218324187
-1.917,11,0.11199777006913442
-1.724,11,0.003646280150622516
-1.426,11,-0.15757941204040316
-1.119,11,-0.31519601398799013
-1.015,11,-0.36530143678319416
-0.935,11,-0.4004026788476695
-0.927,11,-0.4036405538559636
-0.807,11,-0.4424686767129548
-0.803,11,-0.4433588029805146
-0.803,11,-0.4433588029805146
-0.793,11,-0.4454450350601322
-0.702,11,-0.45454265294104834
-0.576,11,-0.4342664667885181
-0.455,11,-0.37758277308914406
-0.432,11,-0.36301697342117034
-0.265,11,-0.23276276750693276
-0.262,11,-0.2301938474523319
-0.182,11,-0.1613949087277347
-0.178,11,-0.15798361338280656
-0.021,11,-0.032282393806530356
-0.015,11,-0.02791508309396798
0.047,11,0.014934314895311468
0.055,11,0.020175433037748842
0.195,11,0.10527139407904362
0.222,11,0.12117767824597744
0.264,11,0.14629045882553388
0.297,11,0.1665806041156403
0.34,11,0.19402594199358011
0.487,11,0.29756011546395933
0.665,11,0.44002566256463344
0.764,11,0.5229584805471942
1.023,11,0.7341774255410292
1.132,11,0.8166320660601823
1.133,11,0.8173697108259501
1.342,11,0.9703971539188242
1.465,11,1.0672034081774313
1.472,11,1.0730041991387786
2.086,11,1.6424879523783766
2.367,11,1.881185199973397
-1.917,12,0.7302649693472542
-1.724,12,0.5075319826815355
-1.426,12,0.1683380274436459
-1.119,12,-0.1275094042613898
-1.015,12,-0.20002043100556544
-0.935,12,-0.24338588558721497
-0.927,12,-0.24712269346119037
-0.807,12,-0.29138150715869204
-0.803,12,-0.2925176286009578
-0.803,12,-0.2925176286009578
-0.793,12,-0.29527429425518936
-0.702,12,-0.3155637903962105
-0.576,12,-0.33341332458650075
-0.455,12,-0.34376436413057015
-0.432,12,-0.3450911947343661
-0.265,12,-0.34323861869120575
-0.262,12,-0.3429272725195177
-0.182,12,-0.3293489835854781
-0.178,12,-0.32837150234469675
-0.021,12,-0.26260290065824543
-0.015,12,-0.25891969568955975
0.047,12,-0.21548353190376002
0.055,12,-0.20918324478763645
0.195,12,-0.07833210570759216
0.222,12,-0.04982233565938993
0.264,12,-0.004361969721171699
0.297,12,0.031838035797441946
