issue,Gambit_Costume,Gambit_Non-Costume,Magneto_Costume,Magneto_Non-Costume,Nightcrawler_Costume,Nightcrawler_Non-Costume,Storm_Costume,Storm_Non-Costume,Wolverine_Costume,Wolverine_Non-Costume
235,9.468886602720366e-5,-7.517611950661864e-6,-0.004551387750792273,-0.040011942581463206,0.007173085579659972,0.01929296726522013,9.564383219231457,2.2197346836282614,10.901230248359752,12.74517544812763
236,0.0014598229207891565,3.5613561627323145e-5,-0.013672201839097656,-0.025308910925041467,0.005090088716445434,-0.0027597062051715176,9.872856859899672,1.991693072900908,9.355018100868586,14.20494612771283
237,0.0035261531040464045,1.0296528320403148e-4,-0.02654891922797121,-0.013944950586137496,0.003301235357941196,-0.01523745614980826,10.28457966221733,2.142634087071909,8.358351352216937,14.83184216704494
238,0.006407339141964159,1.991653233942995e-4,-0.0422191029331424,-0.00584560781110528,0.0018947574384433987,-0.02079641119598007,10.866960680775554,2.6175890605084127,8.110862968633683,14.240608665255898
239,0.010114418341131567,3.2584504897373615e-4,-0.058947360934070686,-5.305880774467954e-4,8.627827637438655e-4,-0.021649025181319084,11.70968566908365,3.29005783670176,8.540704221102668,12.74043376884454
240,0.014559149436386929,4.815150964335245e-4,-0.07437594691537464,0.0025856909868780527,1.6713761050817587e-4,-0.019739153843567187,12.83564501547633,4.044170697645278,9.44862178824798,10.815969720860746
241,0.019358799295141223,6.551995849663708e-4,-0.08443065241857944,0.004104122383225687,-2.554537325987464e-4,-0.016379935310563178,13.978270948671753,4.878111170216041,10.397225674499694,8.959282103191759
242,0.02391609180806486,8.287812430286087e-4,-0.08399321699252714,0.004599532396804298,-4.726794363787824e-4,-0.01260758681713306,14.805522366962439,5.771548564691979,10.930618409560305,7.5939293486449255
243,0.02707007082629316,9.650637534295595e-4,-0.06548563435842028,0.004527169818912803,-5.447755215003742e-4,-0.008981359635954774,15.01292300655506,6.51604208007066,10.757009298415909,6.862027954870645
244,0.02732169783545037,0.001015054118220378,-0.020238252127787317,0.004279429095763278,-5.26147607686902e-4,-0.005875886719381118,14.423931891363678,6.882769309803293,9.731760757231129,6.7820031187989525
245,0.02238328489865132,9.016516620665657e-4,0.06232542069890062,0.004116864787129644,-4.553318610149358e-4,-0.0034042937006123755,13.346184358217716,6.749491536435998,8.134740871601078,7.158956769635363
246,0.00960708774153393,5.341607012714937e-4,0.19280732850573512,0.0042371060948934456,-3.635819920878678e-4,-0.0015895579968274814,12.116962015302988,6.089897718718693,6.326620030512141,7.804587603616909
247,-0.014306213837662151,-2.0438680392433702e-4,0.3800043906040013,0.004717920675804846,-2.688913432631856e-4,-3.555714802725196e-4,10.707955243315379,5.154803831121601,4.5667721670853165,8.770304652831198
248,-0.05271559568510212,-0.0014360469622485812,0.6294906761299767,0.005572770479434732,-1.8398083562758634e-4,4.011262441415157e-4,9.045951121606171,4.227345948204323,3.058601798166723,10.13450621328619
249,-0.10856708029717219,-0.003276955802238648,0.9357538785927161,0.00667775617176828,-1.137420734305059e-4,7.943190959111259e-4,7.243714751638127,3.44281352916369,1.8829322313683825,11.843837300820635
250,-0.18391092488301233,-0.005817925651905507,1.2837217655268094,0.007826028211923252,-6.028158024774517e-5,9.345851707633715e-4,5.464925942982704,2.8753311047213566,1.0755417352770726,13.702982879202372
251,-0.2776272788525563,-0.009054394117344612,1.631168776196218,0.008616297515133419,-2.239487379782469e-5,9.09355744940053e-4,3.8909453155346574,2.502210107061022,0.6146096316127101,15.080540984084807
252,-0.3857921653890543,-0.01289204793312509,1.9171194992512048,0.008535916276343274,2.1130924202829274e-6,7.936539482763802e-4,2.6678731358439887,2.2580001843762774,0.4596293058999573,15.436903161527196
253,-0.49643521056822604,-0.016972945069626207,2.0327524491578655,0.0068212413532241735,1.608861592851663e-5,6.360171444664666e-4,1.7830874467584477,2.003016947438245,0.5529493457493199,15.035721927326726
